,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
10,,1724378,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1cccc([N+](=O)[O-])c1)Nc1nc2ccccc2[nH]1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210748,,CHEMBL210748,,False,http://qudt.org/vocab/unit#Percent,477135,=,1,True,=,,Inhibition,%,,15.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,15.0
11,,1724379,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc3ccccc3[nH]2)c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL208762,,CHEMBL208762,,False,http://qudt.org/vocab/unit#Percent,477136,=,1,True,=,,Inhibition,%,,45.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,45.0
12,,1724380,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.56', 'le': '0.33', 'lle': '2.18', 'sei': '5.97'}",CHEMBL426133,,CHEMBL426133,4.87,False,http://www.openphacts.org/units/Nanomolar,477137,=,1,True,=,,IC50,nM,,13600.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,13.6
13,,1724381,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210730,,CHEMBL210730,,False,http://qudt.org/vocab/unit#Percent,477138,=,1,True,=,,Inhibition,%,,11.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,11.0
14,,1724382,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2ccccc2[nH]1)c1ccc(F)c([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '17.28', 'le': '0.32', 'lle': '2.33', 'sei': '5.14'}",CHEMBL209118,,CHEMBL209118,5.19,False,http://www.openphacts.org/units/Nanomolar,477139,=,1,True,=,,IC50,nM,,6500.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,6.5
15,,1724383,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1[N+](=O)[O-],,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '16.61', 'le': '0.31', 'lle': '1.89', 'sei': '4.88'}",CHEMBL209715,,CHEMBL209715,4.92,False,http://www.openphacts.org/units/Nanomolar,477140,=,1,True,=,,IC50,nM,,12000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,12.0
16,,1724384,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '16.84', 'le': '0.31', 'lle': '1.70', 'sei': '6.33'}",CHEMBL209716,,CHEMBL209716,5.70,False,http://www.openphacts.org/units/Nanomolar,477141,=,1,True,=,,IC50,nM,,2000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,2.0
17,,1724385,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCn1c(NC(=O)c2cccc(Cl)c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '13.80', 'le': '0.27', 'lle': '-0.22', 'sei': '9.64'}",CHEMBL377654,,CHEMBL377654,4.52,False,http://www.openphacts.org/units/Nanomolar,477142,=,1,True,=,,IC50,nM,,30000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,30.0
18,,1724386,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCn1c(NC(=O)c2ccc(Cl)c(Cl)c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '15.25', 'le': '0.31', 'lle': '0.12', 'sei': '11.77'}",CHEMBL209075,,CHEMBL209075,5.52,False,http://www.openphacts.org/units/Nanomolar,477143,=,1,True,=,,IC50,nM,,3000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,3.0
19,,1724387,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCCCn1c(NC(=O)c2ccc([N+](=O)[O-])cc2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL425952,,CHEMBL425952,,False,http://qudt.org/vocab/unit#Percent,477144,=,1,True,=,,Inhibition,%,,8.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,8.0
20,,1724388,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCn1c(NC(=O)c2ccc(OC)cc2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '16.04', 'le': '0.30', 'lle': '1.09', 'sei': '9.24'}",CHEMBL380097,,CHEMBL380097,5.19,False,http://www.openphacts.org/units/Nanomolar,477145,=,1,True,=,,IC50,nM,,6500.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,6.5
21,,1724389,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2ccc[nH]c-2n1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210375,,CHEMBL210375,,False,http://qudt.org/vocab/unit#Percent,477146,=,1,True,=,,Inhibition,%,,39.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,39.0
22,,1724390,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2cc[nH]cc-2n1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '15.97', 'le': '0.29', 'lle': '2.45', 'sei': '3.97'}",CHEMBL380009,,CHEMBL380009,4.52,False,http://www.openphacts.org/units/Nanomolar,477147,=,1,True,=,,IC50,nM,,30000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,30.0
23,,1724391,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2ccccc2s1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210875,,CHEMBL210875,,False,http://qudt.org/vocab/unit#Percent,477148,=,1,True,=,,Inhibition,%,,11.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,11.0
24,,1724392,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2cc(Cl)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '16.49', 'le': '0.32', 'lle': '1.84', 'sei': '5.17'}",CHEMBL210682,,CHEMBL210682,5.22,False,http://www.openphacts.org/units/Nanomolar,477149,=,1,True,=,,IC50,nM,,6000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,6.0
25,,1724393,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2cc(F)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '17.81', 'le': '0.33', 'lle': '2.49', 'sei': '5.30'}",CHEMBL208116,,CHEMBL208116,5.35,False,http://www.openphacts.org/units/Nanomolar,477150,=,1,True,=,,IC50,nM,,4500.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,4.5
26,,1724394,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '20.58', 'le': '0.38', 'lle': '3.07', 'sei': '6.04'}",CHEMBL377259,,CHEMBL377259,6.10,False,http://www.openphacts.org/units/Nanomolar,477151,=,1,True,=,,IC50,nM,,800.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,0.8
27,,1724395,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.65', 'le': '0.35', 'lle': '3.09', 'sei': '5.29'}",CHEMBL206991,,CHEMBL206991,5.82,False,http://www.openphacts.org/units/Nanomolar,477152,=,1,True,=,,IC50,nM,,1500.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,1.5
28,,1724396,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '13.52', 'le': '0.25', 'lle': '2.09', 'sei': '3.62'}",CHEMBL208561,,CHEMBL208561,4.60,False,http://www.openphacts.org/units/Nanomolar,477153,=,1,True,=,,IC50,nM,,25000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,25.0
29,,1724397,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCCS(=O)(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '13.90', 'le': '0.27', 'lle': '2.49', 'sei': '4.00'}",CHEMBL209820,,CHEMBL209820,5.40,False,http://www.openphacts.org/units/Nanomolar,477154,=,1,True,=,,IC50,nM,,4000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,4.0
30,,1724398,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2cc([N+](=O)[O-])ccc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210751,,CHEMBL210751,,False,http://qudt.org/vocab/unit#Percent,477155,=,1,True,=,,Inhibition,%,,29.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,29.0
31,,1724399,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2c([N+](=O)[O-])cccc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL377640,,CHEMBL377640,,False,http://qudt.org/vocab/unit#Percent,477156,=,1,True,=,,Inhibition,%,,25.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,25.0
32,,1724400,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2cc(F)c(F)cc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '14.21', 'le': '0.27', 'lle': '1.52', 'sei': '4.48'}",CHEMBL208667,,CHEMBL208667,4.52,False,http://www.openphacts.org/units/Nanomolar,477157,=,1,True,=,,IC50,nM,,30000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,30.0
33,,1724401,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2cc(Cl)c(Cl)cc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210260,,CHEMBL210260,,False,http://qudt.org/vocab/unit#Percent,477158,=,1,True,=,,Inhibition,%,,10.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,10.0
34,,1724402,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1nc2c(F)c(F)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL210311,,CHEMBL210311,,False,http://qudt.org/vocab/unit#Percent,477159,=,1,True,=,,Inhibition,%,,24.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,24.0
35,,1724403,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc2nc(NC(=O)c3cccc([N+](=O)[O-])c3)[nH]c2cc1C,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '16.43', 'le': '0.30', 'lle': '1.76', 'sei': '5.05'}",CHEMBL210821,,CHEMBL210821,5.10,False,http://www.openphacts.org/units/Nanomolar,477160,=,1,True,=,,IC50,nM,,8000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,8.0
36,,1724404,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.37', 'le': '0.34', 'lle': '2.48', 'sei': '6.33'}",CHEMBL210822,,CHEMBL210822,5.70,False,http://www.openphacts.org/units/Nanomolar,477161,=,1,True,=,,IC50,nM,,2000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,2.0
37,,1724405,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.50', 'le': '0.34', 'lle': '2.22', 'sei': '6.66'}",CHEMBL209202,,CHEMBL209202,6.00,False,http://www.openphacts.org/units/Nanomolar,477162,=,1,True,=,,IC50,nM,,1000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,1.0
38,,1724406,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,C=CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.62', 'le': '0.34', 'lle': '2.62', 'sei': '6.66'}",CHEMBL210774,,CHEMBL210774,6.00,False,http://www.openphacts.org/units/Nanomolar,477163,=,1,True,=,,IC50,nM,,1000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,1.0
39,,1724407,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '13.33', 'le': '0.25', 'lle': '0.31', 'sei': '5.22'}",CHEMBL207226,,CHEMBL207226,4.70,False,http://www.openphacts.org/units/Nanomolar,477164,=,1,True,=,,IC50,nM,,20000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,20.0
40,,1724408,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2ccccc2n1CCC1CCC1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '15.64', 'le': '0.29', 'lle': '1.31', 'sei': '6.33'}",CHEMBL208166,,CHEMBL208166,5.70,False,http://www.openphacts.org/units/Nanomolar,477165,=,1,True,=,,IC50,nM,,2000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,2.0
41,,1724409,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,COCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '17.63', 'le': '0.33', 'lle': '3.16', 'sei': '6.04'}",CHEMBL210354,,CHEMBL210354,6.00,False,http://www.openphacts.org/units/Nanomolar,477166,=,1,True,=,,IC50,nM,,1000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,1.0
42,,1724410,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCOCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '16.08', 'le': '0.30', 'lle': '2.47', 'sei': '5.74'}",CHEMBL210366,,CHEMBL210366,5.70,False,http://www.openphacts.org/units/Nanomolar,477167,=,1,True,=,,IC50,nM,,2000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,2.0
43,,1724411,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)Cn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '17.37', 'le': '0.32', 'lle': '3.64', 'sei': '5.50'}",CHEMBL210194,,CHEMBL210194,6.40,False,http://www.openphacts.org/units/Nanomolar,477168,=,1,True,=,,IC50,nM,,400.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,0.4
44,,1724412,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '15.69', 'le': '0.29', 'lle': '2.85', 'sei': '5.16'}",CHEMBL208709,,CHEMBL208709,6.00,False,http://www.openphacts.org/units/Nanomolar,477169,=,1,True,=,,IC50,nM,,1000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,1.0
45,,1724413,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2ccccc2n1C1CCOC1=O)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '17.09', 'le': '0.32', 'lle': '3.58', 'sei': '5.38'}",CHEMBL207464,,CHEMBL207464,6.26,False,http://www.openphacts.org/units/Nanomolar,477170,=,1,True,=,,IC50,nM,,550.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,0.55
