,Unnamed: 0,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,ligand_efficiency
2737,182,,33046,[],CHEMBL802838,In vitro cytotoxicity against human SNU-638 (stomach cancer) cell line.,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,,,CHEMBL1147454,Bioorg. Med. Chem. Lett.,2004,CHEMBL115665,,CHEMBL115665,6.16,False,http://www.openphacts.org/units/Nanomolar,215713,=,1,True,=,,IC50,nM,,690.0,CHEMBL614935,Homo sapiens,SNU-638,9606.0,,,IC50,uM,UO_0000065,,0.69,,,,,
1966,133,,37997,[],CHEMBL847186,"In vivo activity against vaginal candidoses in rats, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 13/15",F,,,BAO_0000179,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,,338516,=,1,False,=,,C/I ratio,,,13.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,13.0,,,,,
2845,26,,34890,[],CHEMBL815134,Effect against HIV-1 chronically infected promonocytic cell line U1 in the presence of PMA(phorbol 12-myristate 13-acetate),F,,,BAO_0000179,BAO_0000219,cell-based format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,,CHEMBL1128496,J. Med. Chem.,1995,CHEMBL129,ZIDOVUDINE,CHEMBL129,,False,http://www.openphacts.org/units/PicogramPerMilliliter,190461,=,1,False,=,,p24,pg ml-1,,9338.0,CHEMBL612558,,ADMET,,,,p24,pg ml-1,,,9338.0,,,,,
1801,36,,34900,[],CHEMBL618674,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells in the presence of PMA(phorbol 12-myristate 13-acetate),F,,,BAO_0000179,BAO_0000219,cell-based format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,,CHEMBL1128496,J. Med. Chem.,1995,CHEMBL129,ZIDOVUDINE,CHEMBL129,,False,http://www.openphacts.org/units/PicogramPerMilliliter,190461,=,1,False,=,,p24,pg ml-1,,30758.0,CHEMBL614263,Homo sapiens,ACH-2 cell line,9606.0,,,p24,pg ml-1,,,30758.0,,,,,
1893,56,,36920,[],CHEMBL762168,"Activity against P388 leukemia cells in mice, by intraperitoneal dosing and net log tumor cell kill was reported",F,,,BAO_0000181,BAO_0000219,cell-based format,Cl.O=C1c2c(O)ccc(O)c2-c2nn(CCO)c3ccc(NCCNCCO)c1c23,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL543272,,CHEMBL1192090,,False,,35217,=,1,False,=,,Activity,,,6.8,CHEMBL389,Mus musculus,P388,10090.0,,,Activity,,,,6.8,,,,,
40,819,,32683,[],CHEMBL752940,Selective inhibition of serum stimulated growth of NIH3T3 isogenic cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,,,CHEMBL1145114,J. Med. Chem.,2003,CHEMBL137635,,CHEMBL137635,4.4,False,http://www.openphacts.org/units/Nanomolar,262238,=,1,True,=,,IC50,nM,,39420.0,CHEMBL614822,Mus musculus,NIH3T3,10090.0,,,IC50,uM,UO_0000065,,39.42,,,,,
2349,33,,36897,[],CHEMBL696876,Antiproliferative effect against HeLa cell lines at a concentration of 1 uM,F,,,BAO_0000179,BAO_0000219,cell-based format,CCN(CC)CCNc1ccc(NCCN(CC)CC)c2c1C(=O)c1ccccc1C2=O,,,CHEMBL1122896,J. Med. Chem.,1985,CHEMBL416895,,CHEMBL416895,,False,http://qudt.org/vocab/unit#Percent,334753,=,1,False,=,,No. of untreated cells,%,,98.0,CHEMBL399,Homo sapiens,HeLa,9606.0,,,No. of untreated cells,%,UO_0000187,,98.0,,,,,
515,784,,34648,[],CHEMBL629247,Partition coefficient of compound in octanol and water by Fragmental method of Leo/Hansch,P,,,BAO_0002130,BAO_0000100,small-molecule physicochemical format,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,,,CHEMBL1136579,Bioorg. Med. Chem. Lett.,2003,CHEMBL41092,CHRYSOPHANOL,CHEMBL41092,,False,,307474,=,1,True,=,,LogP,,,3.39,CHEMBL2362975,,No relevant target,,,,Log Pow,,,,3.39,,,,,
3155,673,,40537,[],CHEMBL720679,"Tested for its ability to eliminate the infective trypomastigote form of Trypanosoma cruzi, Y strain present in blood of infected mice at the dose of 0.29 mM",F,,,BAO_0000179,BAO_0000218,organism-based format,O=C1C=C(O)C(=O)c2ccccc21,,,CHEMBL1130355,Bioorg. Med. Chem. Lett.,1997,CHEMBL240963,LAWSONE,CHEMBL240963,,False,http://qudt.org/vocab/unit#Percent,109744,=,1,False,=,,Lysis,%,,76.0,CHEMBL375,Mus musculus,Mus musculus,10090.0,,,Lysis,%,UO_0000187,,76.0,,,,,
1009,0,,34864,[],CHEMBL844600,Ratio of the inhibitory concentrations against Toxoplasma gondii DHFR in culture and Toxoplasma gondii DHFR.,B,,,BAO_0000179,BAO_0000019,assay format,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL23705,,CHEMBL23705,,False,,84829,=,1,False,=,,Ratio,,,46.0,CHEMBL612545,,Unchecked,,,,Ratio,,,,46.0,,,,,
412,239,,32103,[],CHEMBL756997,Inhibitory activity of compound on p24 production in peripheral blood mononuclear cells infected with HIV strain RT-MDR.,F,,,BAO_0000190,BAO_0000019,assay format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,,CHEMBL1131738,Bioorg. Med. Chem. Lett.,1999,CHEMBL129,ZIDOVUDINE,CHEMBL129,6.82,False,http://www.openphacts.org/units/Nanomolar,66201,=,1,True,=,,IC50,nM,,150.0,CHEMBL612558,,ADMET,,,,IC50,uM,UO_0000065,,0.15,,,,,
287,614,,33478,[],CHEMBL659777,In vitro inhibitory activity against recombinant human Cdc25B using fluorescein diphosphate (FDP) as a substrate,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1,,,CHEMBL1135185,Bioorg. Med. Chem. Lett.,2002,CHEMBL301254,,CHEMBL301254,5.67,False,http://www.openphacts.org/units/Nanomolar,100668,=,1,True,=,,IC50,nM,,2130.0,CHEMBL4804,Homo sapiens,Dual specificity phosphatase Cdc25B,9606.0,,,IC50,uM,UO_0000065,,2.13,19.4,0.35,3.0,9.38,
2914,888,,36752,[],CHEMBL659902,In vitro cytotoxicity against human Col2 (colon cancer) cell line.,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(Br)c1,,,CHEMBL1147454,Bioorg. Med. Chem. Lett.,2004,CHEMBL115302,,CHEMBL115302,5.52,False,http://www.openphacts.org/units/Nanomolar,215705,=,1,True,=,,IC50,nM,,3040.0,CHEMBL614462,Homo sapiens,Col2,9606.0,,,IC50,uM,UO_0000065,,3.04,,,,,
1554,115,,37979,[],CHEMBL806723,In vitro antifungal activity against Sporothrix schenck ii,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nn(C(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL352780,,CHEMBL352780,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338508,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL612245,Sporothrix schenckii,Sporothrix schenckii,29908.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
2891,840,,35704,[],CHEMBL759554,"Inhibition of P388 leukemia cells in mice, measured as percent treated to the control values with the number of 30 day survivors",F,,,BAO_0001103,BAO_0000219,cell-based format,CN(C)CCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13.Cl,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL542566,,CHEMBL1191462,,False,http://qudt.org/vocab/unit#Percent,35186,=,1,False,=,,T/C,%,,250.0,CHEMBL389,Mus musculus,P388,10090.0,,,T/C,%,UO_0000187,,250.0,,,,,
3023,136,,38000,[],CHEMBL824064,"In vivo activity against microsporosis guinea pig, measured as the ratio of animals cured/animals infected (C/I) at dose 10 mg/kg; C/I = 4/8",F,,,BAO_0000179,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,,338516,=,1,False,=,,C/I ratio,,,4.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,4.0,,,,,
2509,706,,38570,[],CHEMBL711928,Cytotoxic activity against MDA-N breast cancer cell line,F,,,BAO_0000189,BAO_0000219,cell-based format,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL279983,,CHEMBL279983,,False,http://www.openphacts.org/units/Nanomolar,84812,=,1,True,=,,GI50,nM,,359.0,CHEMBL614078,Homo sapiens,MDA-N,9606.0,,,GI50,M,UO_0000065,,3.59e-07,,,,,
1790,25,,34889,[],CHEMBL815133,Effect against HIV-1 chronically infected promonocytic cell line U1,F,,,BAO_0000179,BAO_0000219,cell-based format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,,CHEMBL1128496,J. Med. Chem.,1995,CHEMBL129,ZIDOVUDINE,CHEMBL129,,False,http://www.openphacts.org/units/PicogramPerMilliliter,190461,=,1,False,=,,p24,pg ml-1,,22.0,CHEMBL612558,,ADMET,,,,p24,pg ml-1,,,22.0,,,,,
745,1,,34865,[],CHEMBL809304,Ability to prevent HIV-1 induced T4 cell killing and HIV-1 replication.,F,,,BAO_0000188,BAO_0000219,cell-based format,COc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4c3O)c(OC)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2c1O.[Na+].[Na+].[Na+].[Na+],,,CHEMBL1128679,J. Med. Chem.,1995,CHEMBL296966,CHICAGO SKY BLUE SODIUM,CHEMBL311909,5.32,False,http://www.openphacts.org/units/Nanomolar,70239,=,1,True,=,,EC50,nM,,4800.0,CHEMBL614024,Homo sapiens,AIK-T4,9606.0,,,EC50,uM,UO_0000065,,4.8,,,,,
762,40,,34904,[],CHEMBL618674,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells in the presence of PMA(phorbol 12-myristate 13-acetate),F,,,BAO_0000179,BAO_0000219,cell-based format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,,CHEMBL1128496,J. Med. Chem.,1995,CHEMBL129,ZIDOVUDINE,CHEMBL129,,False,http://www.openphacts.org/units/PicogramPerMilliliter,190461,=,1,False,=,,p24,pg ml-1,,31360.0,CHEMBL614263,Homo sapiens,ACH-2 cell line,9606.0,,,p24,pg ml-1,,,31360.0,,,,,
1203,186,,38050,[],CHEMBL806723,In vitro antifungal activity against Sporothrix schenck ii,F,,,BAO_0000181,BAO_0000218,organism-based format,CCc1nnc(O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL167713,,CHEMBL167713,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338522,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL612245,Sporothrix schenckii,Sporothrix schenckii,29908.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
1468,890,,36754,[],CHEMBL669796,In vitro inhibition of human DNA topoisomerase I activity.,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(Br)c1,,,CHEMBL1147454,Bioorg. Med. Chem. Lett.,2004,CHEMBL115302,,CHEMBL115302,,False,http://qudt.org/vocab/unit#Percent,215705,=,1,True,=,,Inhibition,%,,100.0,CHEMBL1781,Homo sapiens,DNA topoisomerase I,9606.0,,,Inhibition,%,UO_0000187,,100.0,,,,,
23,197,,32061,[],CHEMBL706332,Tested in vitro against murine L1210 leukemia.,F,,,BAO_0000190,BAO_0000219,cell-based format,Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL542565,,CHEMBL1191461,6.06,False,http://www.openphacts.org/units/Nanomolar,35198,=,1,True,=,,IC50,nM,,870.0,CHEMBL386,Mus musculus,L1210,10090.0,,,IC50,M,UO_0000065,,8.7e-07,,,,,
1944,111,,37975,[],CHEMBL659518,In vitro antifungal activity against Candida tropicalis,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nn(C(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL352780,,CHEMBL352780,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338508,=,1,False,=,,Inhibition,ug ml-1,,1.0,CHEMBL612870,Candida tropicalis,Candida tropicalis,5482.0,,,Inhibition,ug ml-1,UO_0000274,,1.0,,,,,
2149,817,,32681,[],CHEMBL620836,In vitro inhibition of A431 (human carcinoma) cell basal growth.,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,,,CHEMBL1145114,J. Med. Chem.,2003,CHEMBL137635,,CHEMBL137635,4.6,False,http://www.openphacts.org/units/Nanomolar,262238,=,1,True,=,,IC50,nM,,25140.0,CHEMBL614069,Homo sapiens,A-431,9606.0,,,IC50,uM,UO_0000065,,25.14,,,,,
1567,128,,37992,[],CHEMBL744617,In vitro antifungal activity against Mucor sp,F,,,BAO_0000181,BAO_0000019,assay format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338516,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
2035,708,,38572,[],CHEMBL844603,Ratio of the inhibitory concentrations against rat liver DHFR and Toxoplasma gondii DHFR.,B,,,BAO_0000179,BAO_0000019,assay format,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL279983,,CHEMBL279983,,False,,84812,=,1,False,=,,Ratio,,,3.8,CHEMBL2097172,Toxoplasma gondii,Dihydrofolate reductase; T. gondii vs rat,5811.0,,,Ratio,,,,3.8,,,,,
125,196,,33060,[],CHEMBL665236,DNA binding affinity as log K value,B,,,BAO_0000179,BAO_0000225,nucleic acid format,COc1cc(NS(C)(=O)=O)ccc1Nc1c2cccc(C)c2nc2c(C)cccc12,,,CHEMBL1122588,J. Med. Chem.,1984,CHEMBL326857,,CHEMBL326857,,False,,231154,=,1,False,=,,Log K,,,6.46,CHEMBL345,,Nucleic Acid,,,,Log K,,,,6.46,,,,,
1553,114,,37978,[],CHEMBL650098,In vitro antifungal activity against Aspergillus fumigatus,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nn(C(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL352780,,CHEMBL352780,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338508,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL363,Aspergillus fumigatus,Aspergillus fumigatus,746128.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
1178,123,,37987,[],CHEMBL815607,In vitro antifungal activity against Trichophyton rubrum,F,,,BAO_0000181,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338516,=,1,False,=,,Inhibition,ug ml-1,,1.0,CHEMBL612649,Trichophyton rubrum,Trichophyton rubrum,5551.0,,,Inhibition,ug ml-1,UO_0000274,,1.0,,,,,
1781,994,,34858,[],CHEMBL664175,Inhibitory activity against Dihydrofolate reductase from Pneumocystis carinii,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL23705,,CHEMBL23705,6.29,True,http://www.openphacts.org/units/Nanomolar,84829,=,1,True,=,,IC50,nM,,510.0,CHEMBL1926,Pneumocystis carinii,Dihydrofolate reductase,4754.0,,,IC50,nM,UO_0000065,,510.0,17.75,0.33,4.14,5.6,
